id,subloc,param
ccy,,flow
afo,,flow
mateo,,flow
guad,,flow
coycr,,flow
vns,,flow
sjg,,flow
trn2,,flow
vcu,,flow
mdm,,flow
hlt,,flow
odm,,flow
glc,,flow
oh4,,flow
obi,,flow
hol,,flow
dsj,,flow
orq,,flow
fal,,flow
osj,,flow
pri,,flow
dlc,,flow
lps,,flow
mok,,flow
tsl,,flow
sjj,,flow
fpt,,flow
sut,,flow
sss,,flow
sdc,,flow
gss,,flow
ges,,flow
lbtoe,,flow
libc,,flow
hwb,,flow
sgg,,flow
dws,,flow
ryi,,flow
srv,,flow
benbr,,flow
carqb,,flow
napr,,flow
petr,,flow
dumbr,,flow
richb,,flow
wsd,,flow
alk,,flow
sdi,,flow
lib,,flow
smr,,flow
mkn,,flow
von,,flow
toen,,flow
cm72,,flow
cm66,,flow
ult,,flow
usc,,flow
ryf,,flow
confl,,flow
has,,flow
grizzb,,flow
yolo,,flow
glcgs,,flow
cm62,,flow
mld,,flow
fmb,,flow
liw,,flow
mss,,flow
mtz,,flow
lcut,,flow
sweir,,flow
sfp17,,flow
alvz,,flow
dum,,flow
cm,,flow
pcw,,flow
