# "agency"="noaa"
# "unit"="meters"
# "datum"="NAVD"
# "station_id"="9414290"
# "item"="elev"
# "timezone"="LST"
# "source"="http://tidesandcurrents.noaa.gov/"
Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2019-10-01 00:00,1.554,0.040,0,0,0,0,v
2019-10-01 00:06,1.564,0.046,0,0,0,0,v
2019-10-01 00:12,1.589,0.020,0,0,0,0,v
2019-10-01 00:18,1.610,0.023,0,0,0,0,v
2019-10-01 00:24,1.631,0.027,0,0,0,0,v
2019-10-01 00:30,1.642,0.028,0,0,0,0,v
2019-10-01 00:36,1.657,0.034,0,0,0,0,v
2019-10-01 00:42,1.672,0.029,0,0,0,0,v
2019-10-01 00:48,1.673,0.022,0,0,0,0,v
2019-10-01 00:54,1.677,0.025,0,0,0,0,v
2019-10-01 01:00,1.679,0.019,0,0,0,0,v
2019-10-01 01:06,1.681,0.024,0,0,0,0,v
2019-10-01 01:12,1.683,0.035,0,0,0,0,v
2019-10-01 01:18,1.689,0.027,0,0,0,0,v
2019-10-01 01:24,1.689,0.026,0,0,0,0,v
2019-10-01 01:30,1.694,0.020,0,0,0,0,v
2019-10-01 01:36,1.688,0.030,0,0,0,0,v
2019-10-01 01:42,1.676,0.020,0,0,0,0,v
2019-10-01 01:48,1.662,0.022,0,0,0,0,v
2019-10-01 01:54,1.642,0.022,0,0,0,0,v
2019-10-01 02:00,1.624,0.029,0,0,0,0,v
2019-10-01 02:06,1.598,0.027,0,0,0,0,v
2019-10-01 02:12,1.584,0.021,0,0,0,0,v
2019-10-01 02:18,1.573,0.027,0,0,0,0,v
2019-10-01 02:24,1.556,0.020,0,0,0,0,v
2019-10-01 02:30,1.528,0.022,0,0,0,0,v
2019-10-01 02:36,1.499,0.020,0,0,0,0,v
2019-10-01 02:42,1.463,0.027,0,0,0,0,v
2019-10-01 02:48,1.431,0.025,0,0,0,0,v
2019-10-01 02:54,1.404,0.022,0,0,0,0,v
2019-10-01 03:00,1.381,0.028,0,0,0,0,v
2019-10-01 03:06,1.351,0.027,0,0,0,0,v
2019-10-01 03:12,1.306,0.023,0,0,0,0,v
2019-10-01 03:18,1.274,0.029,0,0,0,0,v
2019-10-01 03:24,1.230,0.028,0,0,0,0,v
2019-10-01 03:30,1.192,0.023,0,0,0,0,v
2019-10-01 03:36,1.150,0.021,0,0,0,0,v
2019-10-01 03:42,1.112,0.021,0,0,0,0,v
2019-10-01 03:48,1.061,0.027,0,0,0,0,v
2019-10-01 03:54,1.022,0.025,0,0,0,0,v
2019-10-01 04:00,0.986,0.026,0,0,0,0,v
2019-10-01 04:06,0.946,0.020,0,0,0,0,v
2019-10-01 04:12,0.908,0.024,0,0,0,0,v
