Title: "SJR.csv"
11783,PST,'RIVER STAGE (feet)'
20081021,0930,0.00
20081021,0945,0.00
20081021,1000,0.00
20081021,1015,0.00
20081021,1030,0.00
20081021,1045,0.00
20081021,1100,0.00
20081021,1115,0.00
20081021,1130,0.00
20081021,1145,0.00
20081021,1200,0.00
20081021,1215,0.00
20081021,1230,0.00
20081021,1245,0.00
20081021,1300,0.00
20081021,1315,0.00
20081021,1330,0.00
20081021,1345,0.00
20081021,1400,0.00
20081021,1415,0.00
20081021,1430,0.00
20081021,1445,0.00
20081021,1500,0.00
20081021,1515,0.00
20081021,1530,0.00
20081021,1545,0.00
20081021,1600,0.00
20081021,1615,0.00
20081021,1630,0.00
20081021,1645,0.00
20081021,1700,0.00
20081021,1715,0.00
20081021,1730,0.00
20081021,1745,0.00
20081021,1800,0.00
20081021,1815,0.00
20081021,1830,0.00
20081021,1845,0.00
20081021,1900,0.00
20081021,1915,0.00
20081021,1930,0.00
20081021,1945,0.00
20081021,2000,0.00
20081021,2015,0.00
20081021,2030,0.00
20081021,2045,0.00
20081021,2100,0.00
20081021,2115,0.00
20081021,2130,0.00
20081021,2145,0.00
20081021,2200,0.00
20081021,2215,0.00
20081021,2230,0.00
20081021,2245,0.00
20081021,2300,0.00
20081021,2315,0.00
20081021,2330,0.00
20081021,2345,0.00
20081022,0000,0.00
20081022,0015,0.00
20081022,0030,0.00
20081022,0045,0.00
20081022,0100,0.00
20081022,0115,0.00
20081022,0130,0.00
20081022,0145,0.00
20081022,0200,0.00
20081022,0215,0.00
20081022,0230,0.00
20081022,0245,0.00
20081022,0300,0.00
20081022,0315,0.00
20081022,0330,0.00
20081022,0345,0.00
20081022,0400,0.00
20081022,0415,0.00
20081022,0430,0.00
20081022,0445,0.00
20081022,0500,0.00
20081022,0515,0.00
20081022,0530,0.00
20081022,0545,0.00
20081022,0600,0.00
20081022,0615,0.00
20081022,0630,0.00
20081022,0645,0.00
20081022,0700,0.00
20081022,0715,0.00
20081022,0730,0.00
20081022,0745,0.00
20081022,0800,0.00
20081022,0815,0.00
20081022,0830,0.00
20081022,0845,0.00
20081022,0900,0.00
20081022,0915,0.00
20081022,0930,0.00
20081022,0945,0.00
20081022,1000,0.00
20081022,1015,0.00
20081022,1030,0.00
20081022,1045,0.00
20081022,1100,0.00
20081022,1115,0.00
20081022,1130,0.00
20081022,1145,0.00
20081022,1200,0.00
20081022,1215,0.00
20081022,1230,0.00
20081022,1245,0.00
20081022,1300,0.00
20081022,1315,0.00
20081022,1330,0.00
20081022,1345,0.00
20081022,1400,0.00
20081022,1415,0.00
20081022,1430,0.00
20081022,1445,0.00
20081022,1500,0.00
20081022,1515,0.00
20081022,1530,0.00
20081022,1545,0.00
20081022,1600,0.00
20081022,1615,0.00
20081022,1630,0.00
20081022,1645,0.00
20081022,1700,0.00
20081022,1715,0.00
20081022,1730,0.00
20081022,1745,0.00
20081022,1800,0.00
20081022,1815,0.00
20081022,1830,0.00
20081022,1845,0.00
20081022,1900,0.00
20081022,1915,0.00
20081022,1930,0.00
20081022,1945,0.00
20081022,2000,0.00
20081022,2015,0.00
20081022,2030,0.00
20081022,2045,0.00
20081022,2100,0.00
20081022,2115,0.00
20081022,2130,0.00
20081022,2145,0.00
20081022,2200,0.00
20081022,2215,0.00
20081022,2230,0.00
20081022,2245,0.00
20081022,2300,0.00
20081022,2315,0.00
20081022,2330,0.00
20081022,2345,0.00
20081023,0000,0.00
20081023,0015,0.00
20081023,0030,0.00
20081023,0045,0.00
20081023,0100,0.00
20081023,0115,0.00
20081023,0130,0.00
20081023,0145,0.00
20081023,0200,0.00
20081023,0215,0.00
20081023,0230,0.00
20081023,0245,0.00
20081023,0300,0.00
20081023,0315,0.00
20081023,0330,0.00
20081023,0345,0.00
20081023,0400,0.00
20081023,0415,0.00
20081023,0430,0.00
20081023,0445,0.00
20081023,0500,0.00
20081023,0515,0.00
20081023,0530,0.00
20081023,0545,0.00
20081023,0600,0.00
20081023,0615,0.00
20081023,0630,0.00
20081023,0645,0.00
20081023,0700,0.00
20081023,0715,0.00
20081023,0730,0.00
20081023,0745,0.00
20081023,0800,0.00
20081023,0815,0.00
20081023,0830,0.00
20081023,0845,0.00
20081023,0900,0.00
20081023,0915,0.00
20081023,0930,0.00
20081023,0945,0.00
20081023,1000,0.00
20081023,1015,0.00
20081023,1030,0.00
20081023,1045,0.00
20081023,1100,0.00
20081023,1115,0.00
20081023,1130,0.00
20081023,1145,0.00
20081023,1200,0.00
20081023,1215,0.00
20081023,1230,0.00
20081023,1245,0.00
20081023,1300,0.00
20081023,1315,0.00
20081023,1330,0.00
20081023,1345,0.00
20081023,1400,0.00
20081023,1415,0.00
20081023,1430,0.00
20081023,1445,0.00
20081023,1500,0.00
20081023,1515,0.00
20081023,1530,0.00
20081023,1545,0.00
20081023,1600,0.00
20081023,1615,0.00
20081023,1630,0.00
20081023,1645,0.00
20081023,1700,0.00
20081023,1715,0.00
20081023,1730,0.00
20081023,1745,0.00
20081023,1800,0.00
20081023,1815,0.00
20081023,1830,0.00
20081023,1845,0.00
20081023,1900,0.00
20081023,1915,0.00
20081023,1930,0.00
20081023,1945,0.00
20081023,2000,0.00
20081023,2015,0.00
20081023,2030,0.00
20081023,2045,0.00
20081023,2100,0.00
20081023,2115,0.00
20081023,2130,0.00
20081023,2145,0.00
20081023,2200,0.00
20081023,2215,0.00
20081023,2230,0.00
20081023,2245,0.00
20081023,2300,0.00
20081023,2315,0.00
20081023,2330,0.00
20081023,2345,0.00
20081024,0000,0.00
20081024,0015,0.00
20081024,0030,0.00
20081024,0045,0.00
