STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
JER,E,100,EL COND,20191201 0000,20191201 0000,447, ,uS/cm
JER,E,100,EL COND,20191201 0015,20191201 0015,418, ,uS/cm
JER,E,100,EL COND,20191201 0030,20191201 0030,395, ,uS/cm
JER,E,100,EL COND,20191201 0045,20191201 0045,381, ,uS/cm
JER,E,100,EL COND,20191201 0100,20191201 0100,369, ,uS/cm
JER,E,100,EL COND,20191201 0115,20191201 0115,361, ,uS/cm
JER,E,100,EL COND,20191201 0130,20191201 0130,350, ,uS/cm
JER,E,100,EL COND,20191201 0145,20191201 0145,340, ,uS/cm
JER,E,100,EL COND,20191201 0200,20191201 0200,335, ,uS/cm
JER,E,100,EL COND,20191201 0215,20191201 0215,325, ,uS/cm
JER,E,100,EL COND,20191201 0230,20191201 0230,321, ,uS/cm
JER,E,100,EL COND,20191201 0245,20191201 0245,325, ,uS/cm
JER,E,100,EL COND,20191201 0300,20191201 0300,346, ,uS/cm
JER,E,100,EL COND,20191201 0315,20191201 0315,361, ,uS/cm
JER,E,100,EL COND,20191201 0330,20191201 0330,362, ,uS/cm
JER,E,100,EL COND,20191201 0345,20191201 0345,353, ,uS/cm
JER,E,100,EL COND,20191201 0400,20191201 0400,351, ,uS/cm
JER,E,100,EL COND,20191201 0415,20191201 0415,346, ,uS/cm
JER,E,100,EL COND,20191201 0430,20191201 0430,356, ,uS/cm
JER,E,100,EL COND,20191201 0445,20191201 0445,370, ,uS/cm
JER,E,100,EL COND,20191201 0500,20191201 0500,371, ,uS/cm
JER,E,100,EL COND,20191201 0515,20191201 0515,370, ,uS/cm
JER,E,100,EL COND,20191201 0530,20191201 0530,373, ,uS/cm
JER,E,100,EL COND,20191201 0545,20191201 0545,401, ,uS/cm
JER,E,100,EL COND,20191201 0600,20191201 0600,422, ,uS/cm
JER,E,100,EL COND,20191201 0615,20191201 0615,446, ,uS/cm
JER,E,100,EL COND,20191201 0630,20191201 0630,464, ,uS/cm
JER,E,100,EL COND,20191201 0645,20191201 0645,480, ,uS/cm
JER,E,100,EL COND,20191201 0700,20191201 0700,492, ,uS/cm
JER,E,100,EL COND,20191201 0715,20191201 0715,519, ,uS/cm
JER,E,100,EL COND,20191201 0730,20191201 0730,563, ,uS/cm
JER,E,100,EL COND,20191201 0745,20191201 0745,594, ,uS/cm
JER,E,100,EL COND,20191201 0800,20191201 0800,648, ,uS/cm
JER,E,100,EL COND,20191201 0815,20191201 0815,689, ,uS/cm
JER,E,100,EL COND,20191201 0830,20191201 0830,769, ,uS/cm
JER,E,100,EL COND,20191201 0845,20191201 0845,821, ,uS/cm
JER,E,100,EL COND,20191201 0900,20191201 0900,900, ,uS/cm
JER,E,100,EL COND,20191201 0915,20191201 0915,987, ,uS/cm
JER,E,100,EL COND,20191201 0930,20191201 0930,1054, ,uS/cm
JER,E,100,EL COND,20191201 0945,20191201 0945,1110, ,uS/cm
JER,E,100,EL COND,20191201 1000,20191201 1000,1151, ,uS/cm
JER,E,100,EL COND,20191201 1015,20191201 1015,1257, ,uS/cm
JER,E,100,EL COND,20191201 1030,20191201 1030,1358, ,uS/cm
JER,E,100,EL COND,20191201 1045,20191201 1045,1439, ,uS/cm
JER,E,100,EL COND,20191201 1100,20191201 1100,1296, ,uS/cm
JER,E,100,EL COND,20191201 1115,20191201 1115,1230, ,uS/cm
JER,E,100,EL COND,20191201 1130,20191201 1130,1421, ,uS/cm
JER,E,100,EL COND,20191201 1145,20191201 1145,1402, ,uS/cm
JER,E,100,EL COND,20191201 1200,20191201 1200,1403, ,uS/cm
JER,E,100,EL COND,20191201 1215,20191201 1215,1339, ,uS/cm
JER,E,100,EL COND,20191201 1230,20191201 1230,1278, ,uS/cm
JER,E,100,EL COND,20191201 1245,20191201 1245,1256, ,uS/cm
JER,E,100,EL COND,20191201 1300,20191201 1300,1228, ,uS/cm
JER,E,100,EL COND,20191201 1315,20191201 1315,1183, ,uS/cm
JER,E,100,EL COND,20191201 1330,20191201 1330,1119, ,uS/cm
JER,E,100,EL COND,20191201 1345,20191201 1345,1091, ,uS/cm
JER,E,100,EL COND,20191201 1400,20191201 1400,1081, ,uS/cm
JER,E,100,EL COND,20191201 1415,20191201 1415,1068, ,uS/cm
JER,E,100,EL COND,20191201 1430,20191201 1430,1071, ,uS/cm
JER,E,100,EL COND,20191201 1445,20191201 1445,1075, ,uS/cm
JER,E,100,EL COND,20191201 1500,20191201 1500,1092, ,uS/cm
JER,E,100,EL COND,20191201 1515,20191201 1515,1139, ,uS/cm
JER,E,100,EL COND,20191201 1530,20191201 1530,1188, ,uS/cm
JER,E,100,EL COND,20191201 1545,20191201 1545,1258, ,uS/cm
JER,E,100,EL COND,20191201 1600,20191201 1600,1322, ,uS/cm
JER,E,100,EL COND,20191201 1615,20191201 1615,1410, ,uS/cm
JER,E,100,EL COND,20191201 1630,20191201 1630,1461, ,uS/cm
JER,E,100,EL COND,20191201 1645,20191201 1645,1654, ,uS/cm
JER,E,100,EL COND,20191201 1700,20191201 1700,1844, ,uS/cm
JER,E,100,EL COND,20191201 1715,20191201 1715,1944, ,uS/cm
JER,E,100,EL COND,20191201 1730,20191201 1730,2135, ,uS/cm
JER,E,100,EL COND,20191201 1745,20191201 1745,2277, ,uS/cm
JER,E,100,EL COND,20191201 1800,20191201 1800,2372, ,uS/cm
JER,E,100,EL COND,20191201 1815,20191201 1815,2479, ,uS/cm
JER,E,100,EL COND,20191201 1830,20191201 1830,2553, ,uS/cm
JER,E,100,EL COND,20191201 1845,20191201 1845,2692, ,uS/cm
JER,E,100,EL COND,20191201 1900,20191201 1900,2801, ,uS/cm
JER,E,100,EL COND,20191201 1915,20191201 1915,2909, ,uS/cm
JER,E,100,EL COND,20191201 1930,20191201 1930,2974, ,uS/cm
JER,E,100,EL COND,20191201 1945,20191201 1945,3037, ,uS/cm
