STATION_FILE_FOLDER,STATION,POR_YEAR_FOLDER,FILE_NAME_BASE,FILE_NAME_ALIAS,PLOT_FILE_NAME,TABLE_FILE_NAME,REPORT_FILE_NAME
01N04E36Q001M/2005/WATER_TEMPERATURE_POINT,01N04E36Q001M,2005,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2006/WATER_TEMPERATURE_POINT,01N04E36Q001M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2007/WATER_TEMPERATURE_POINT,01N04E36Q001M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2008/WATER_TEMPERATURE_POINT,01N04E36Q001M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2009/WATER_TEMPERATURE_POINT,01N04E36Q001M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2010/WATER_TEMPERATURE_POINT,01N04E36Q001M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2011/WATER_TEMPERATURE_POINT,01N04E36Q001M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2012/WATER_TEMPERATURE_POINT,01N04E36Q001M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2013/WATER_TEMPERATURE_POINT,01N04E36Q001M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2015/WATER_TEMPERATURE_POINT,01N04E36Q001M,2015,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2016/WATER_TEMPERATURE_POINT,01N04E36Q001M,2016,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2017/WATER_TEMPERATURE_POINT,01N04E36Q001M,2017,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2018/WATER_TEMPERATURE_POINT,01N04E36Q001M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/2019/WATER_TEMPERATURE_POINT,01N04E36Q001M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q001M/POR/WATER_TEMPERATURE_POINT,01N04E36Q001M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2005/WATER_TEMPERATURE_POINT,01N04E36Q002M,2005,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2006/WATER_TEMPERATURE_POINT,01N04E36Q002M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2007/WATER_TEMPERATURE_POINT,01N04E36Q002M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2008/WATER_TEMPERATURE_POINT,01N04E36Q002M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2009/WATER_TEMPERATURE_POINT,01N04E36Q002M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2010/WATER_TEMPERATURE_POINT,01N04E36Q002M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2011/WATER_TEMPERATURE_POINT,01N04E36Q002M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2012/WATER_TEMPERATURE_POINT,01N04E36Q002M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2013/WATER_TEMPERATURE_POINT,01N04E36Q002M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2014/WATER_TEMPERATURE_POINT,01N04E36Q002M,2014,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2015/WATER_TEMPERATURE_POINT,01N04E36Q002M,2015,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2016/WATER_TEMPERATURE_POINT,01N04E36Q002M,2016,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2017/WATER_TEMPERATURE_POINT,01N04E36Q002M,2017,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2018/WATER_TEMPERATURE_POINT,01N04E36Q002M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/2019/WATER_TEMPERATURE_POINT,01N04E36Q002M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q002M/POR/WATER_TEMPERATURE_POINT,01N04E36Q002M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2006/WATER_TEMPERATURE_POINT,01N04E36Q003M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2007/WATER_TEMPERATURE_POINT,01N04E36Q003M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2008/WATER_TEMPERATURE_POINT,01N04E36Q003M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2009/WATER_TEMPERATURE_POINT,01N04E36Q003M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2010/WATER_TEMPERATURE_POINT,01N04E36Q003M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2011/WATER_TEMPERATURE_POINT,01N04E36Q003M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2012/WATER_TEMPERATURE_POINT,01N04E36Q003M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2013/WATER_TEMPERATURE_POINT,01N04E36Q003M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2014/WATER_TEMPERATURE_POINT,01N04E36Q003M,2014,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2015/WATER_TEMPERATURE_POINT,01N04E36Q003M,2015,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2016/WATER_TEMPERATURE_POINT,01N04E36Q003M,2016,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2017/WATER_TEMPERATURE_POINT,01N04E36Q003M,2017,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2018/WATER_TEMPERATURE_POINT,01N04E36Q003M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/2019/WATER_TEMPERATURE_POINT,01N04E36Q003M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q003M/POR/WATER_TEMPERATURE_POINT,01N04E36Q003M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2006/WATER_TEMPERATURE_POINT,01N04E36Q004M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2007/WATER_TEMPERATURE_POINT,01N04E36Q004M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2008/WATER_TEMPERATURE_POINT,01N04E36Q004M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2009/WATER_TEMPERATURE_POINT,01N04E36Q004M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2010/WATER_TEMPERATURE_POINT,01N04E36Q004M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2011/WATER_TEMPERATURE_POINT,01N04E36Q004M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2012/WATER_TEMPERATURE_POINT,01N04E36Q004M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2013/WATER_TEMPERATURE_POINT,01N04E36Q004M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2017/WATER_TEMPERATURE_POINT,01N04E36Q004M,2017,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2018/WATER_TEMPERATURE_POINT,01N04E36Q004M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/2019/WATER_TEMPERATURE_POINT,01N04E36Q004M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01N04E36Q004M/POR/WATER_TEMPERATURE_POINT,01N04E36Q004M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2005/WATER_TEMPERATURE_POINT,01S04E28F001M,2005,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2006/WATER_TEMPERATURE_POINT,01S04E28F001M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2007/WATER_TEMPERATURE_POINT,01S04E28F001M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2008/WATER_TEMPERATURE_POINT,01S04E28F001M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2010/WATER_TEMPERATURE_POINT,01S04E28F001M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2011/WATER_TEMPERATURE_POINT,01S04E28F001M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2012/WATER_TEMPERATURE_POINT,01S04E28F001M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2013/WATER_TEMPERATURE_POINT,01S04E28F001M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2014/WATER_TEMPERATURE_POINT,01S04E28F001M,2014,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2016/WATER_TEMPERATURE_POINT,01S04E28F001M,2016,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2018/WATER_TEMPERATURE_POINT,01S04E28F001M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/2019/WATER_TEMPERATURE_POINT,01S04E28F001M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F001M/POR/WATER_TEMPERATURE_POINT,01S04E28F001M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2006/WATER_TEMPERATURE_POINT,01S04E28F002M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2007/WATER_TEMPERATURE_POINT,01S04E28F002M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2008/WATER_TEMPERATURE_POINT,01S04E28F002M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2009/WATER_TEMPERATURE_POINT,01S04E28F002M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2010/WATER_TEMPERATURE_POINT,01S04E28F002M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2012/WATER_TEMPERATURE_POINT,01S04E28F002M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2013/WATER_TEMPERATURE_POINT,01S04E28F002M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2014/WATER_TEMPERATURE_POINT,01S04E28F002M,2014,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2015/WATER_TEMPERATURE_POINT,01S04E28F002M,2015,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2016/WATER_TEMPERATURE_POINT,01S04E28F002M,2016,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2017/WATER_TEMPERATURE_POINT,01S04E28F002M,2017,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2018/WATER_TEMPERATURE_POINT,01S04E28F002M,2018,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/2019/WATER_TEMPERATURE_POINT,01S04E28F002M,2019,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F002M/POR/WATER_TEMPERATURE_POINT,01S04E28F002M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2006/WATER_TEMPERATURE_POINT,01S04E28F003M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2007/WATER_TEMPERATURE_POINT,01S04E28F003M,2007,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2008/WATER_TEMPERATURE_POINT,01S04E28F003M,2008,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2009/WATER_TEMPERATURE_POINT,01S04E28F003M,2009,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2010/WATER_TEMPERATURE_POINT,01S04E28F003M,2010,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2011/WATER_TEMPERATURE_POINT,01S04E28F003M,2011,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2012/WATER_TEMPERATURE_POINT,01S04E28F003M,2012,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2013/WATER_TEMPERATURE_POINT,01S04E28F003M,2013,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2014/WATER_TEMPERATURE_POINT,01S04E28F003M,2014,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/2015/WATER_TEMPERATURE_POINT,01S04E28F003M,2015,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F003M/POR/WATER_TEMPERATURE_POINT,01S04E28F003M,POR,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
01S04E28F004M/2006/WATER_TEMPERATURE_POINT,01S04E28F004M,2006,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
